start,end,title,type,color,metadata,category,isImportant,isParent,row,location_city,location_country,eventId,parentId,place,_customRow,categoryBgColor
2021-12-01,2021-12-01,Version 1.0,milestone,#2196F3,Official product launch,career,false,false,0,San Francisco,United States,f3adc3e5-3536-4ad3-b19c-3dd99ce43aab,,null,false,null
2022-06-15,2022-06-15,Major Update 2.0,milestone,#4CAF50,Significant feature release,career,false,false,1,San Francisco,United States,b5484a35-18aa-42b9-81d2-38488526f452,,null,false,null
2018-01-01,2018-01-01,Company Founded,milestone,#2196F3,Initial founding with 3 employees,career,false,false,0,New York,United States,f019b2ec-da98-4fca-8c3b-8c05a9e60bad,,null,false,null
2018-06-15,2018-06-15,Seed Funding,milestone,#4CAF50,Raised $500K seed round,career,false,false,0,New York,United States,b51914c6-1b8a-4a39-814e-4133a2e425e8,,null,false,null
2018-08-31,2020-08-31,First Office,range,#47a7e8,First physical office space,career,false,false,0,New York,United States,83f02f6c-754e-47c4-8ca3-0659137a5bfc,,null,false,null
2019-03-20,2019-03-20,Series A,milestone,#4CAF50,Raised $5M Series A,career,false,false,1,New York,United States,0f14707a-5ec5-44db-af5b-7425216bd8c0,,null,false,null
2019-12-01,2019-12-01,100th Customer,milestone,#fbd8a7,Major customer milestone,career,false,false,1,New York,United States,6f85017c-ea22-4854-90ff-c99b6abde11e,,null,false,null
2020-06-01,2020-12-31,International Expansion,range,#FF9800,Opened offices in London and Singapore,career,true,false,1,London,United Kingdom,801906ea-c43f-4d89-9360-3cd1a0b93842,,null,false,null
2020-07-15,2023-04-15,Singapore Office,range,#3F51B5,Asia Pacific headquarters,career,true,false,2,Singapore,Singapore,d9d3c318-2aca-4ab0-8717-be4df0ec949b,,null,false,null
2022-02-01,2022-06-30,Tokyo Partnership,range,#009688,Strategic partnership with Japanese firm,career,false,false,0,Tokyo,Japan,2c638926-8773-4748-81c6-62510839a971,,null,false,null
2022-09-10,2022-09-15,Berlin Conference,range,#607D8B,International technology conference,academic,false,false,1,Berlin,Germany,f96c596b-88ba-4541-aae3-8227cdab42b1,,null,false,null
2023-04-15,2023-04-15,IPO,milestone,#E91E63,Listed on NYSE,career,true,false,0,New York,United States,4015b2dd-d7aa-4d3e-b740-abdd8b409c3b,,null,false,null
2024-01-01,2024-06-30,World Tour 2024,range,#8E44AD,Six-month global business development tour,travel,true,true,0,New York,United States,world-tour,,null,false,"rgba(142, 68, 173, 0.08)"
2024-01-01,2024-01-31,US Tour,range,#3498DB,East and West Coast client meetings,travel,false,false,1,New York,United States,us-leg,world-tour,null,false,null
2024-02-01,2024-03-31,European Tour,range,#16A085,Major European cities for expansion,travel,false,false,1,London,United Kingdom,europe-leg,world-tour,null,false,null
2024-04-01,2024-05-31,Asia Tour,range,#E74C3C,Asian market development,travel,false,false,1,Tokyo,Japan,asia-leg,world-tour,null,false,null
2024-03-15,2024-03-20,Berlin Tech Summit,range,#2ECC71,Major industry conference during European tour,travel,false,false,2,Berlin,Germany,berlin-conference,europe-leg,null,false,null
2022-01-01,2022-06-30,Cloud Certification Program,range,#F39C12,Professional development certification,education,true,false,0,San Francisco,United States,certification-program,,null,false,"rgba(243, 156, 18, 0.08)"
2022-03-01,2022-05-15,Leadership Training,range,#D35400,Executive leadership development program,education,false,false,1,Boston,United States,leadership-training,,null,false,null
2022-02-15,2022-04-30,Product Redesign,range,#27AE60,Major UI/UX redesign project,project,true,false,1,San Francisco,United States,team-project-1,,null,false,"rgba(39, 174, 96, 0.08)"
2022-01-15,2022-05-20,Backend Migration,range,#2980B9,Cloud infrastructure migration,project,false,false,0,San Francisco,United States,team-project-2,,null,false,null
